,x,y
0,72,36
1,70,36
2,77,37
3,78,38
4,80,39
5,81,39
6,83,40
7,84,41
8,85,41
9,85,42
10,84,42
11,84,42
12,83,43
13,84,44
14,85,45
15,85,47
16,86,48
17,86,50
18,86,52
19,87,53
20,86,55
21,86,64
22,87,73
23,89,85
24,89,100
25,89,120
26,88,142
27,88,162
28,88,162
29,88,195
30,90,223
31,93,248
32,100,272
33,114,309
34,121,321
35,129,329
36,138,334
37,145,337
38,150,339
39,154,341
40,155,342
41,158,343
42,159,344
43,159,343
44,158,342
45,157,339
46,156,339
47,155,338
48,155,338
49,155,338
50,154,339
51,153,339
52,152,338
53,151,337
54,149,336
55,148,334
56,150,331
57,151,328
58,155,323
59,158,316
60,162,309
61,165,301
62,167,293
63,167,287
64,166,282
65,164,277
66,162,272
67,160,266
68,159,261
69,158,256
70,158,251
71,158,246
72,158,241
73,158,234
74,157,227
75,156,220
76,155,212
77,154,205
78,154,197
79,153,190
80,152,183
81,149,172
82,147,166
83,145,159
84,142,153
85,142,153
86,140,146
87,137,140
88,135,133
89,132,127
90,131,122
91,131,117
92,132,113
93,136,106
94,140,104
95,145,101
96,149,99
97,153,96
98,157,95
99,162,93
100,167,92
101,173,91
102,179,91
103,186,90
104,195,89
105,204,89
106,214,88
107,224,88
108,233,88
109,244,88
110,252,87
111,259,88
112,267,89
113,273,89
114,279,89
115,284,91
116,288,93
117,289,95
118,287,113
119,288,119
120,288,126
121,288,133
122,287,140
123,287,148
124,287,156
125,287,163
126,287,170
127,286,181
128,287,190
129,287,198
130,288,208
131,288,217
132,290,227
133,290,236
134,289,247
135,288,257
136,287,267
137,285,277
138,284,294
139,283,300
140,283,300
141,281,305
142,279,309
143,278,312
144,277,315
145,276,316
146,275,318
147,274,318
148,275,318
149,276,317
150,281,317
151,285,317
152,290,317
153,297,317
154,304,317
155,311,317
156,320,317
157,329,316
158,337,316
159,337,316
160,346,314
161,354,314
162,367,313
163,372,312
164,375,312
165,377,311
166,378,310
167,379,309
168,379,307
169,378,305
170,378,302
171,378,298
172,377,293
173,377,286
174,376,277
175,376,267
176,377,254
177,377,240
178,376,226
179,376,212
180,376,197
181,377,183
182,377,166
183,378,154
184,378,142
185,377,128
186,377,116
187,378,103
188,380,92
189,385,82
190,394,75
191,405,69
192,418,65
193,433,62
194,447,61
195,460,60
196,473,60
197,485,60
198,497,61
199,510,62
200,522,64
201,534,66
202,545,68
203,556,71
204,566,74
205,575,77
206,581,79
207,585,82
208,588,84
209,590,86
210,590,86
