,0
0,"[28, 128]"
1,"[46, 129]"
2,"[64, 131]"
3,"[78, 133]"
4,"[89, 136]"
5,"[98, 139]"
6,"[103, 142]"
7,"[108, 146]"
8,"[111, 150]"
9,"[113, 154]"
10,"[114, 158]"
11,"[114, 161]"
12,"[112, 162]"
13,"[111, 164]"
14,"[110, 166]"
15,"[108, 168]"
16,"[107, 172]"
17,"[106, 176]"
18,"[105, 181]"
19,"[103, 184]"
20,"[102, 185]"
21,"[102, 186]"
22,"[102, 186]"
23,"[102, 187]"
24,"[102, 188]"
25,"[102, 189]"
26,"[102, 190]"
27,"[102, 190]"
28,"[102, 189]"
29,"[102, 189]"
30,"[101, 189]"
31,"[102, 189]"
32,"[102, 189]"
33,"[102, 189]"
34,"[102, 190]"
35,"[101, 190]"
36,"[101, 190]"
37,"[101, 190]"
38,"[101, 190]"
39,"[101, 190]"
40,"[101, 189]"
41,"[101, 189]"
42,"[101, 189]"
43,"[101, 189]"
44,"[101, 189]"
45,"[101, 188]"
46,"[101, 189]"
47,"[101, 189]"
48,"[101, 189]"
49,"[101, 188]"
50,"[101, 189]"
51,"[101, 189]"
52,"[101, 189]"
53,"[101, 189]"
54,"[101, 190]"
55,"[102, 189]"
56,"[102, 189]"
57,"[102, 189]"
58,"[102, 189]"
59,"[102, 189]"
60,"[102, 189]"
61,"[103, 189]"
62,"[103, 189]"
63,"[103, 189]"
64,"[103, 189]"
65,"[103, 189]"
66,"[104, 189]"
67,"[104, 189]"
68,"[104, 189]"
69,"[104, 187]"
70,"[104, 184]"
71,"[104, 179]"
72,"[103, 172]"
73,"[101, 166]"
74,"[98, 157]"
75,"[96, 147]"
76,"[93, 137]"
77,"[91, 126]"
78,"[89, 115]"
79,"[88, 95]"
80,"[88, 95]"
81,"[88, 85]"
82,"[88, 76]"
83,"[88, 67]"
84,"[88, 59]"
85,"[88, 52]"
86,"[88, 46]"
87,"[88, 40]"
88,"[88, 35]"
89,"[88, 30]"
90,"[88, 26]"
91,"[88, 23]"
92,"[88, 22]"
93,"[88, 23]"
94,"[89, 25]"
95,"[90, 29]"
96,"[91, 36]"
97,"[93, 46]"
98,"[96, 57]"
99,"[96, 57]"
100,"[99, 69]"
101,"[102, 80]"
102,"[105, 91]"
103,"[111, 111]"
104,"[114, 120]"
105,"[116, 128]"
106,"[118, 135]"
107,"[119, 142]"
108,"[119, 148]"
109,"[120, 152]"
110,"[120, 157]"
111,"[121, 160]"
112,"[120, 162]"
113,"[120, 163]"
114,"[119, 163]"
115,"[119, 163]"
116,"[118, 162]"
117,"[117, 162]"
118,"[117, 161]"
119,"[117, 160]"
120,"[115, 157]"
121,"[114, 154]"
122,"[112, 149]"
123,"[111, 143]"
124,"[109, 136]"
125,"[109, 129]"
126,"[109, 122]"
127,"[109, 115]"
128,"[110, 109]"
129,"[113, 104]"
130,"[116, 100]"
131,"[119, 97]"
132,"[123, 95]"
133,"[127, 93]"
134,"[132, 93]"
135,"[136, 93]"
136,"[140, 95]"
137,"[144, 99]"
138,"[147, 104]"
139,"[149, 110]"
140,"[150, 116]"
141,"[150, 123]"
142,"[151, 129]"
143,"[151, 136]"
144,"[151, 142]"
145,"[152, 148]"
146,"[152, 154]"
147,"[152, 158]"
148,"[152, 162]"
149,"[152, 166]"
150,"[153, 169]"
151,"[155, 172]"
152,"[158, 177]"
153,"[159, 178]"
154,"[161, 179]"
155,"[163, 179]"
156,"[166, 181]"
157,"[166, 181]"
158,"[168, 182]"
159,"[170, 182]"
160,"[172, 181]"
161,"[175, 178]"
162,"[177, 174]"
163,"[178, 161]"
164,"[179, 152]"
165,"[178, 142]"
166,"[176, 130]"
167,"[175, 119]"
168,"[172, 108]"
169,"[170, 99]"
170,"[168, 92]"
171,"[167, 88]"
172,"[166, 88]"
173,"[166, 90]"
174,"[166, 96]"
175,"[166, 105]"
176,"[167, 115]"
177,"[169, 126]"
178,"[170, 138]"
179,"[172, 149]"
180,"[174, 158]"
181,"[177, 165]"
182,"[180, 171]"
183,"[184, 175]"
184,"[187, 177]"
185,"[192, 179]"
186,"[195, 179]"
187,"[200, 177]"
188,"[204, 173]"
189,"[208, 169]"
190,"[211, 164]"
191,"[213, 158]"
192,"[215, 152]"
193,"[216, 145]"
194,"[217, 138]"
195,"[217, 131]"
196,"[216, 124]"
197,"[213, 117]"
198,"[211, 111]"
199,"[208, 105]"
200,"[204, 100]"
201,"[200, 96]"
202,"[197, 94]"
203,"[193, 93]"
204,"[191, 93]"
205,"[190, 94]"
206,"[189, 95]"
207,"[190, 96]"
208,"[191, 97]"
209,"[193, 98]"
210,"[196, 99]"
211,"[206, 100]"
212,"[212, 100]"
213,"[218, 100]"
214,"[218, 100]"
215,"[224, 100]"
216,"[229, 99]"
217,"[233, 98]"
218,"[237, 96]"
219,"[239, 96]"
220,"[240, 95]"
221,"[240, 95]"
222,"[239, 96]"
223,"[238, 97]"
224,"[235, 101]"
225,"[233, 105]"
226,"[231, 111]"
227,"[230, 119]"
228,"[230, 128]"
229,"[230, 137]"
230,"[231, 146]"
231,"[232, 153]"
232,"[233, 159]"
233,"[234, 162]"
234,"[234, 162]"
235,"[236, 165]"
236,"[235, 165]"
237,"[235, 164]"
238,"[235, 162]"
239,"[235, 161]"
240,"[235, 160]"
241,"[235, 160]"
242,"[235, 161]"
243,"[235, 162]"
244,"[236, 163]"
245,"[236, 164]"
246,"[238, 166]"
247,"[242, 167]"
248,"[245, 168]"
249,"[250, 169]"
250,"[256, 170]"
251,"[262, 170]"
252,"[269, 168]"
253,"[278, 166]"
254,"[286, 163]"
255,"[295, 159]"
256,"[303, 154]"
257,"[311, 148]"
258,"[317, 139]"
259,"[322, 130]"
260,"[325, 120]"
261,"[325, 110]"
262,"[323, 100]"
263,"[319, 93]"
264,"[314, 89]"
265,"[308, 88]"
266,"[302, 92]"
267,"[297, 99]"
268,"[292, 109]"
269,"[289, 121]"
270,"[287, 135]"
271,"[287, 157]"
272,"[287, 157]"
273,"[290, 165]"
274,"[294, 170]"
275,"[300, 172]"
276,"[307, 173]"
277,"[315, 173]"
278,"[323, 172]"
279,"[332, 171]"
280,"[341, 169]"
281,"[349, 165]"
282,"[356, 161]"
283,"[364, 149]"
284,"[365, 146]"
285,"[366, 145]"
286,"[366, 147]"
287,"[365, 149]"
288,"[365, 152]"
289,"[364, 154]"
290,"[364, 155]"
291,"[364, 155]"
292,"[364, 155]"
293,"[363, 155]"
294,"[363, 155]"
295,"[363, 154]"
296,"[362, 154]"
297,"[362, 154]"
298,"[362, 155]"
299,"[362, 155]"
300,"[363, 157]"
301,"[364, 159]"
302,"[365, 163]"
303,"[365, 168]"
304,"[366, 172]"
305,"[126, 380]"
306,"[126, 380]"
307,"[126, 372]"
308,"[128, 363]"
309,"[131, 357]"
310,"[134, 351]"
311,"[137, 346]"
312,"[138, 342]"
313,"[137, 340]"
314,"[136, 338]"
315,"[135, 338]"
316,"[134, 337]"
317,"[131, 338]"
318,"[129, 339]"
319,"[128, 340]"
320,"[127, 341]"
321,"[126, 342]"
322,"[125, 343]"
323,"[125, 344]"
324,"[124, 345]"
325,"[123, 346]"
326,"[123, 346]"
327,"[123, 347]"
328,"[124, 348]"
329,"[126, 351]"
330,"[127, 353]"
331,"[127, 355]"
332,"[128, 357]"
333,"[129, 360]"
334,"[129, 363]"
335,"[129, 367]"
336,"[129, 371]"
337,"[129, 375]"
338,"[129, 377]"
339,"[128, 380]"
340,"[128, 382]"
341,"[128, 382]"
342,"[128, 384]"
343,"[128, 384]"
344,"[129, 385]"
345,"[130, 387]"
346,"[131, 389]"
347,"[131, 391]"
348,"[131, 393]"
349,"[130, 395]"
350,"[130, 396]"
351,"[129, 397]"
352,"[129, 398]"
353,"[129, 400]"
354,"[129, 401]"
355,"[129, 404]"
356,"[128, 406]"
357,"[129, 407]"
358,"[129, 408]"
359,"[131, 407]"
360,"[131, 404]"
361,"[129, 400]"
362,"[127, 398]"
363,"[125, 397]"
364,"[123, 396]"
365,"[122, 396]"
366,"[122, 395]"
367,"[122, 396]"
368,"[121, 396]"
369,"[121, 398]"
370,"[120, 399]"
371,"[120, 399]"
372,"[119, 402]"
373,"[119, 405]"
374,"[119, 409]"
375,"[118, 414]"
376,"[117, 419]"
377,"[115, 426]"
378,"[113, 427]"
379,"[113, 429]"
380,"[112, 429]"
381,"[112, 429]"
382,"[112, 429]"
383,"[112, 429]"
384,"[112, 429]"
385,"[112, 428]"
386,"[113, 428]"
387,"[113, 427]"
388,"[113, 426]"
389,"[114, 426]"
390,"[115, 425]"
391,"[116, 426]"
392,"[115, 426]"
393,"[115, 426]"
394,"[114, 425]"
