,x,y
0,213,344
1,221,341
2,223,341
3,226,340
4,230,341
5,232,341
6,235,341
7,235,338
8,236,336
9,237,330
10,239,324
11,241,320
12,245,313
13,249,305
14,253,297
15,260,288
16,269,279
17,280,266
18,344,186
19,358,170
20,372,154
21,388,139
22,402,124
23,413,112
24,421,100
25,421,100
26,425,94
27,424,83
28,412,74
29,386,73
30,386,73
31,345,84
32,345,84
33,300,98
34,300,98
35,266,118
36,243,144
37,243,144
38,226,175
39,226,175
40,214,203
41,214,203
42,212,223
43,215,237
44,219,250
45,227,263
46,227,263
47,234,272
48,246,294
49,257,305
50,269,314
51,282,318
52,295,319
53,309,315
54,333,298
55,344,283
56,353,267
57,362,249
58,372,231
59,380,214
60,389,199
61,400,182
62,412,169
63,423,160
64,434,153
65,434,153
66,448,144
67,455,140
68,461,136
69,467,133
70,468,131
71,465,130
72,457,131
73,443,133
74,423,136
75,395,140
76,364,146
77,333,152
78,303,157
79,276,164
80,253,171
81,235,180
82,221,192
83,213,206
84,209,221
85,207,237
86,209,255
87,211,271
88,216,285
89,224,294
90,233,301
91,246,306
92,259,310
93,275,310
94,294,309
95,313,306
96,332,300
97,353,290
98,372,277
